	mean ra	prevalence	1|sp__ Variance	1|sp__ LRT Pvalue	1|sp__ LRT bh	1|sp Variance	1|sp LRT Pvalue	1|sp LRT bh	1|site_year Variance	1|site_year LRT Pvalue	1|site_year LRT bh	residual Variance	(Intercept) Value	(Intercept) Std.Error	(Intercept) Zscore	(Intercept) Pvalue	days_Since_May1 Value	days_Since_May1 Std.Error	days_Since_May1 Zscore	days_Since_May1 Pvalue	days_Since_May1 bh	Positive Value	Positive Std.Error	Positive Zscore	Positive Pvalue	Positive bh
f__Acetobacteraceae-g__Saccharibacter	0.013212944887796008	0.2335423197492163	2.12e-05	1.0	1.0	0.0541064	0.0670466	0.12748054588235294	0.8213674	1.43146e-09	2.6945129411764703e-09	4.3884204	-11.954666	0.35842	-33.3538	0	0.027511	0.00435	6.3243	2.544e-10	9.045333333333334e-10	0.344317	0.193736	1.7772	0.07553	0.26855111111111113
f__Xanthomonadaceae-g__Stenotrophomonas	0.01074379065512333	0.2836990595611285	0.017	0.4469211	0.6810226285714286	0.1399	0.01899558	0.040523904000000006	5.2882	3.724065e-37	2.3834016e-36	5.0351	-7.2760153	0.4930602	-14.7568	0	-0.0340025	0.0051554	-6.5955	4.237e-11	1.6948e-10	-0.2557556	0.2210354	-1.1571	0.2472	0.46531764705882356
f__Rhizobiaceae-g__Agrobacterium	0.009987344693569378	0.23981191222570533	0.1142	0.01627183	0.05785539555555556	0.0002	1.0	1.0	3.4708	7.739982e-39	8.2559808e-38	3.6612	-6.9829443	0.4530164	-15.4143	0	-0.0271944	0.0043739	-6.2174	5.054e-10	1.4702545454545455e-09	-0.3921721	0.1879046	-2.0871	0.03688	0.22410666666666668
f__Bifidobacteriaceae-g__Bombiscardovia	0.008754646338748206	0.5564263322884012	1.193394	5.584486e-11	5.956785066666667e-10	0.000116	1.0	1.0	0.522884	0.001186584	0.0013093340689655174	9.928636	-8.9322466	0.8584657	-10.4049	0	-0.0108041	0.0060872	-1.7749	0.07591	0.10121333333333334	0.3357372	0.2803927	1.1974	0.23116	0.46531764705882356
f__Spiroplasmataceae-g__Spiroplasma	0.008351645554971181	0.11128526645768025	5.223e-05	1.0	1.0	0.5601	4.225724e-21	1.35223168e-19	0.183	3.097584e-05	4.130112e-05	3.652	-11.4752101	0.3976787	-28.8555	0	0.0030401	0.0036853	0.8249	0.4094	0.451751724137931	-0.1271904	0.1699259	-0.7485	0.4542	0.6606545454545455
f__Erwiniaceae-g__Pantoea	0.007286609497186431	0.23197492163009403	0.1349	0.007463561	0.030892996	1.051e-05	1.0	1.0	0.6682	1.965301e-22	6.987736888888889e-22	3.645	-11.6276144	0.4064334	-28.6089	0	0.0176378	0.0039719	4.4407	8.968e-06	1.594311111111111e-05	-0.0260713	0.1770421	-0.1473	0.8829	0.9113806451612904
f__Pseudomonadaceae-g__Pseudomonas	0.0057557032265654435	0.46865203761755486	0.174	0.1661106	0.37968137142857145	0.2218	0.06772404	0.12748054588235294	4.2288	2.793959e-40	4.4703344e-39	4.4963	-8.3250341	0.5481674	-15.187	0	-0.0099926	0.0048619	-2.0553	0.03985	0.05544347826086956	-0.1466346	0.208857	-0.7021	0.48263	0.6714852173913044
f__Erwiniaceae-g__Erwinia	0.005627015429619441	0.2727272727272727	0.2624	0.0003811538	0.002032820266666667	3.403e-06	1.0	1.0	0.6589	4.800286e-06	7.314721523809524e-06	5.575	-10.9538709	0.5150096	-21.2693	0	0.0104461	0.0047758	2.1873	0.02872	0.043763809523809524	-0.2119875	0.2154687	-0.9838	0.32519	0.5781155555555555
f__Lactobacillaceae-g__Lactobacillus	0.004313918290884464	0.4106583072100313	0.8731	0.1511947	0.3721715692307692	1.739	0.0001917244	0.0007668976	0.7924	0.0006617962	0.0007843510518518519	5.4521	-8.2409454	0.8729078	-9.4408	0	-0.0050675	0.0048095	-1.0536	0.292	0.3416457142857143	-0.1305948	0.2155953	-0.6057	0.5447	0.697216
f__Bifidobacteriaceae-g__Bifidobacterium	0.004304230842744045	0.3981191222570533	0.6429	0.1408915	0.3721715692307692	1.2557	0.0006447707	0.0022925180444444446	0.3294	2.121014e-05	2.9563088695652173e-05	5.3397	-10.228762	0.764132	-13.3861	0	0.025351	0.004513	5.6173	1.94e-08	5.173333333333333e-08	-0.268498	0.206946	-1.2974	0.1945	0.46531764705882356
f__Chloroplast-g__Chloroplast	0.0039341212268318	0.47492163009404387	0.06868	0.2871886	0.540590305882353	0.13056	0.1030532	0.1735632842105263	0.63281	5.598894e-05	7.16658432e-05	5.89654	-6.610672	0.4547422	-14.5372	0	-0.0443608	0.0048782	-9.0937	0	0.0	0.1973248	0.2206965	0.8941	0.3713	0.60896
f__Acetobacteraceae-g__Neokomagataea	0.003229496343536303	0.18025078369905956	0.01268	0.4195971	0.67135536	0.09638	0.003359444	0.008958517333333334	0.2849	2.812796e-11	5.625592e-11	2.65661	-12.0820082	0.2976261	-40.5946	0	0.0223371	0.0032768	6.8167	9.317e-12	4.969066666666667e-11	0.2756887	0.148234	1.8598	0.06291	0.25164
f__Alcaligenaceae-g__Achromobacter	0.0030636704024112125	0.19592476489028213	0.0231	0.4146155	0.67135536	0.1423	0.008173594	0.020119616	4.3821	6.251561e-51	2.00049952e-49	3.1427	-9.2227026	0.4245132	-21.7254	0	-0.020597	0.0041224	-4.9964	5.841e-07	1.24608e-06	-0.334806	0.1760961	-1.9013	0.05727	0.25164
f__Acetobacteraceae-g__Asaia	0.002865389802672541	0.11442006269592477	0.01796	0.2600122	0.5200244	0.01416	0.3124269	0.4428025043478261	0.0628	0.08210605	0.08757978666666667	2.67192	-12.8562864	0.2638546	-48.7249	0	0.018696	0.0030057	6.2201	4.967e-10	1.4702545454545455e-09	0.1240372	0.1414695	0.8768	0.3806	0.60896
f__Lactobacillaceae-g__Apilactobacillus	0.002818680416074285	0.23510971786833856	1.875e-05	1.0	1.0	0.8226	6.512125e-16	6.946266666666667e-15	0.02857	0.3586541	0.3586541	5.415	-11.7704015	0.4675709	-25.1735	0	0.0100222	0.0041766	2.3996	0.01641	0.026256	-0.2326122	0.1984092	-1.1724	0.24104	0.46531764705882356
f__Staskawiczbacteraceae-g__GWA2-37-10	0.0015627035623673449	0.7100313479623824	0.2718	0.233743	0.49865173333333335	0.6448	0.001929792	0.0061753344	0.7115	4.391992e-06	7.0271872e-06	5.2457	-9.597377	0.5977489	-16.0559	0	0.0033657	0.0046908	0.7175	0.4731	0.4883612903225807	-0.0174062	0.2107392	-0.0826	0.9342	0.9342
f__Lactobacillaceae-g__Leuconostoc	0.0012009080899216856	0.1206896551724138	1.231e-06	1.0	1.0	0.2646	0.01297764	0.029663177142857145	0.4741	1.116752e-11	2.748928e-11	2.158	-13.1271944	0.311804	-42.1008	0	0.0257551	0.0031033	8.2991	0	0.0	0.0872477	0.1376418	0.6339	0.5262	0.697216
f__Lactobacillaceae-g__gbxid5846	0.0005297656959892301	0.10815047021943573	0.0003845	1.0	1.0	0.3168575	9.438993e-11	7.5511944e-10	0.126895	0.0003962295	0.00048766707692307696	2.6908568	-13.4045961	0.3230493	-41.494	0	0.0210682	0.0031516	6.6849	2.31e-11	1.056e-10	-0.3194477	0.1455484	-2.1948	0.02818	0.22410666666666668
f__Oxalobacteraceae-g__Massilia	0.0004929849632065933	0.19278996865203762	0.1080551	4.041782e-05	0.000258674048	1.84e-05	1.0	1.0	1.1595562	1.989232e-34	1.0609237333333334e-33	1.5887571	-9.721705	0.3291534	-29.5355	0	-0.0127458	0.0028538	-4.4662	7.962e-06	1.5115294117647058e-05	-0.0627161	0.1231399	-0.5093	0.6105	0.7513846153846154
f__Propionibacteriaceae-g__Cutibacterium	0.00020866168987561753	0.1833855799373041	0.0002987	1.0	1.0	0.0783369	5.559185e-05	0.0002964898666666667	0.6601101	7.402435e-20	2.1534356363636363e-19	1.4200783	-10.8309716	0.2426477	-44.6366	0	-0.0015357	0.0026339	-0.5831	0.5598	0.5598	0.1331234	0.1146803	1.1608	0.2457	0.46531764705882356
f__Cellulomonadaceae-g__Cellulomonas	0.00016811130125467174	0.18495297805642633	0.1046	5.635982e-06	4.5087856e-05	6.052e-06	1.0	1.0	0.6435	4.268904e-20	1.3660492799999999e-19	1.376	-10.265237	0.3042054	-33.7444	0	-0.0026956	0.0025951	-1.0387	0.29894	0.3416457142857143	-0.229722	0.112978	-2.0333	0.04202	0.22410666666666668
f__Methylobacteriaceae-g__Methylobacterium	8.634969231290322e-05	0.10658307210031348	2.374e-05	1.0	1.0	0.007227	0.3182643	0.4428025043478261	0.01874	0.2701396	0.27885378064516125	1.459	-11.2900191	0.1735414	-65.0566	0	-0.0032637	0.002162	-1.5096	0.1311	0.16780799999999998	-0.1394246	0.1030228	-1.3533	0.1759	0.46531764705882356
p__Pseudomonadota-c__Gammaproteobacteria	0.5600479150047717	1.0	2.827e-07	1.0	1.0	0.1605	2.374406e-10	6.5296165e-10	0.03987	0.02049848	0.02049848	1.584	-1.6019807	0.2367938	-6.7653	1.33e-11	0.0080941	0.0023481	3.4471	0.0005666	0.0020775333333333335	0.0685104	0.1098573	0.6236	0.5328701	0.8393
p__Pseudomonadota-c__Betaproteobacteria	0.2765593899367825	0.9952978056426333	0.7905	0.01878946	0.20668406	0.3469	0.1502462	0.1502462	0.708	3.756841e-08	1.033131275e-07	4.7736	-2.1462566	0.7159769	-2.9977	0.002721	-0.0056055	0.0045029	-1.2449	0.213181	0.3349987142857143	-0.0363547	0.2017749	-0.1802	0.857016	0.9679
p__Pseudomonadota-c__Alphaproteobacteria	0.08046933269580911	0.7915360501567398	0.000552	1.0	1.0	0.560629	2.466393e-05	5.4260646000000006e-05	4.857113	6.508431e-23	3.57963705e-22	9.126877	-7.8667711	0.6289819	-12.5072	0	0.0154224	0.0067299	2.2916	0.02193	0.05577000000000001	0.0599814	0.2921751	0.2053	0.83734	0.9679
p__Bacteroidota-c__Flavobacteriia	0.02881842885343223	0.45768025078369906	0.0007659	1.0	1.0	2.556	1.956647e-16	7.174372333333334e-16	1.034	0.005720831	0.0069921267777777775	11.82	-9.7708121	0.7887326	-12.388	0	0.0153167	0.0068498	2.2361	0.02535	0.05577000000000001	-0.7113456	0.3113997	-2.2843	0.02235	0.12292499999999999
p__Bacillota-c__Bacilli	0.024850189475766164	0.7962382445141066	0.003806	1.0	1.0	1.648575	2.269375e-21	2.21579985e-20	0.926852	8.140661e-06	1.4924545166666667e-05	6.683557	-9.7564496	0.6243402	-15.6268	0	0.04167	0.0053045	7.8555	3.98e-15	2.189e-14	-0.3917498	0.2381681	-1.6448	0.1	0.325325
p__Actinomycetota-c__Actinomycetes	0.013858231030349558	0.8495297805642633	0.0002388	1.0	1.0	0.1231627	0.01440127	0.017601552222222223	0.2443761	0.01988181	0.02049848	6.9716903	-6.7649034	0.4130869	-16.3765	0	0.0038212	0.0049599	0.7704	0.4411	0.52041	-0.0093057	0.2311981	-0.0403	0.9679	0.9679
p__Mycoplasmatota-c__Mollicutes	0.008358440111071942	0.11598746081504702	7.058e-06	1.0	1.0	0.543	4.028727e-21	2.21579985e-20	0.1841	2.660693e-05	4.181089e-05	3.66	-11.4729175	0.3952519	-29.0268	0	0.0029949	0.0036897	0.8117	0.417	0.52041	-0.1057722	0.1701159	-0.6218	0.5341	0.8393
p__Cyanobacteria-c__Cyanobacteriia	0.003936985541698544	0.47648902821316613	0.07953	0.2552957	0.9360842333333335	0.11766	0.1291812	0.14209932	0.64766	3.696479e-05	5.082658625e-05	5.86081	-6.5837981	0.4583256	-14.3649	0	-0.0449124	0.0048723	-9.2179	0	0.0	0.2290594	0.2202526	1.04	0.2983	0.6562600000000001
p__Patescibacteria-c__Paceibacteria	0.0015627035623673449	0.7100313479623824	0.2718	0.233743	0.9360842333333335	0.6448	0.001929792	0.003032530285714286	0.7115	4.391992e-06	9.662382400000001e-06	5.2457	-9.597377	0.5977489	-16.0559	0	0.0033657	0.0046908	0.7175	0.4731	0.52041	-0.0174062	0.2107392	-0.0826	0.9342	0.9679
other	0.0014116205563384512	0.5297805642633229	0.002231	1.0	1.0	5.992	0.001696616	0.003032530285714286	80.47	1.352477e-44	1.4877247e-43	121.7	-22.041931	2.306683	-9.5557	0	-0.011231	0.024846	-0.452	0.6512613	0.6512613	3.898536	1.073914	3.6302	0.0002832	0.0031152
p__Bacteroidota-c__Bacteroidia	0.00012676323161255136	0.14890282131661442	1.386e-06	1.0	1.0	0.03981	0.005287542	0.00727037025	0.2236	6.878622e-10	2.5221614000000003e-09	1.428	-11.888589	0.2097915	-56.6686	0	0.0038118	0.00246	1.5495	0.1213	0.22238333333333335	0.1720176	0.1101182	1.5621	0.1183	0.325325
